name,name,url
チェリッシュスタジオ3号館/10号館,チェリッシュスタジオ3号館,https://dance-studio-lab.com/room/ODU0ZjgzZjAtNDc3OS00N2YwLTkxZWEtNTNiMTc2MDE4NGRl/detail
チェリッシュスタジオ7号館,チェリッシュスタジオ7号館,https://dance-studio-lab.com/room/MjQ5NGIyOTEtZTVmOS00MzZkLWIzNGYtYTFkMmVhOWZiYTE5/detail
BUZZ南池袋,10st,https://dance-studio-lab.com/room/MzI1MWQzYjgtNzBiMC00NTlkLThmMWItNjQ1N2RjYzEyODVi/detail
BUZZ BAYSIDE(浜松町),1st ,https://dance-studio-lab.com/room/MjdmMGNkZWUtZGZjYi00YmUxLWIzZjctOTM0NmJmNmM5NjRm/detail
BUZZ南池袋,1st ,https://dance-studio-lab.com/room/OWU5ZjNiNDItOWNlZS00M2FlLWFmN2EtYTNhNDYyN2ZjOGIx/detail
BUZZ福岡本店,1st ,https://dance-studio-lab.com/room/NTc0N2VjNzQtOWJhZi00NDhjLWE5MTctOTNjOTNjY2I3YmQ3/detail
チェリッシュスタジオ4号館/8号館,チェリッシュスタジオ8号館,https://dance-studio-lab.com/room/NmJiNDI1YTQtN2EwMi00ODFjLWE0OTMtMjUyYzk4ODY2NGY5/detail
ザ・スペース大久保南口,ザ・スペース大久保南口,https://dance-studio-lab.com/room/ZDRhYmIxMjgtNzhkMy00Yjk1LTk2MzItNTdiZWJmY2VkYWZk/detail
SOUND STUDIO M 小岩店,301st,https://dance-studio-lab.com/room/NTc0ZTA0MjMtMDE1OS00OWM1LTk0YzAtODhmYzQ5ZTRhYzgx/detail
チェリッシュスタジオ5号館,チェリッシュスタジオ5号館,https://dance-studio-lab.com/room/NTRjMDczNjgtY2EzMy00YjE4LWJlMjYtYmExOTZiYTBmZWZk/detail
チェリッシュスタジオ11号館/12号館/13号館/14号館,チェリッシュスタジオ11号館,https://dance-studio-lab.com/room/ZmMxMTg1ZGQtMjUyZS00NjZlLWE3YzMtZjllNWM1N2JhNTdj/detail
チェリッシュスタジオ11号館/12号館/13号館/14号館,チェリッシュスタジオ14号館,https://dance-studio-lab.com/room/OWY3NzM2ZTktZTRjNC00ZDIwLTg3OGUtMjZlYTJhMWIwZDhl/detail
レンタルピラティススタジオAivic新宿,レンタルピラティススタジオAivic新宿【Aスペース】,https://dance-studio-lab.com/room/MWY5Yzc5YzMtMmViOC00MmI0LWIwNzUtNDY1MDUzZjY4MzVm/detail
レンタルピラティススタジオAivic新宿,レンタルピラティススタジオAivic新宿【Bスペース】,https://dance-studio-lab.com/room/NDI4NTM2MTQtNWNlMi00ZTNlLThkYTMtMDkzY2Q2MGIzZDQz/detail
BUZZ六本木,Bst,https://dance-studio-lab.com/room/MGYxY2IwOWYtNDQ4ZS00MmEyLTliYTAtNzg1YjUyOTA0OTlj/detail
BUZZ西国分寺,4st,https://dance-studio-lab.com/room/ZDcyMzBmZWYtMzdiYS00YjY0LThmOGEtZDJjMzQxNTVlZDA2/detail
BUZZ大宮,2F,https://dance-studio-lab.com/room/NDhmMDc4YjUtMDIzYy00ZDE4LWFjZDgtYTNiZTAwMDRkMzli/detail
BUZZ六本木,Cst,https://dance-studio-lab.com/room/ZDA0MzdmZDEtNGMyNS00ZjdhLThmYTYtY2I2MTBkMjdiNDZj/detail
【TEST】,ルーム１０１,https://dance-studio-lab.com/room/ZDVmZDU0NzktMThkZC00NjZmLWI3MTYtZWI5ZmU0ZjEyMTFm/detail
