station_id,station_group_id,station_name,area,prefecture,city,ward_or_city,address,latitude,longitude,lines,companies,line_count,importance_rank,importance_score,source
1130519,1130519,新松戸,新松戸,千葉県,松戸市,松戸市,松戸市幸谷,35.825859,139.920688,JR常磐線(上野～取手)|JR武蔵野線|流鉄流山線,JR東日本|流鉄,3,C,32,駅データ.jp
1130521,1130521,東松戸,東松戸,千葉県,松戸市,松戸市,千葉県松戸市紙敷,35.770173,139.943254,JR武蔵野線|北総鉄道北総線|成田スカイアクセス,JR東日本|京成電鉄|北総鉄道,3,C,32,駅データ.jp
1130524,1130524,西船橋,西船橋,千葉県,船橋市,船橋市,船橋市西船４丁目,35.707221,139.95931,JR中央・総武線|JR京葉線|JR武蔵野線|東京メトロ東西線|東葉高速線,JR東日本|東京メトロ|東葉高速鉄道,5,B,43,駅データ.jp
1130601,1130601,東神奈川,東神奈川,神奈川県,横浜市,横浜市神奈川区,横浜市神奈川区東神奈川,35.477831,139.633867,JR京浜東北線|JR横浜線|京急本線,JR東日本|京急電鉄,3,C,24,駅データ.jp
1130604,1130604,新横浜,新横浜,神奈川県,横浜市,横浜市港北区,横浜市港北区篠原町,35.508381,139.617509,JR横浜線|ブルーライン|東急新横浜線|相鉄新横浜線,JR東日本|東急電鉄|横浜市交通局|相模鉄道,4,B,40,駅データ.jp
1130609,1130609,長津田,長津田,神奈川県,横浜市,横浜市緑区,横浜市緑区長津田４丁目,35.531873,139.493925,JR横浜線|東急こどもの国線|東急田園都市線,JR東日本|東急電鉄,3,C,24,駅データ.jp
1130611,1130611,町田,町田,東京都,町田市,町田市,町田市原町田１丁目,35.543113,139.445407,JR横浜線|小田急線,JR東日本|小田急電鉄,2,A,60,駅データ.jp
1130616,1130616,橋本,橋本,神奈川県,相模原市,相模原市緑区,神奈川県相模原市緑区橋本六丁目1番25号,35.595156,139.344133,JR横浜線|JR相模線|京王相模原線,JR東日本|京王電鉄,3,C,24,駅データ.jp
1130620,1130620,八王子,八王子,東京都,八王子市,八王子市,東京都八王子市旭町1-1,35.655555,139.338998,JR中央本線(東京～塩尻)|JR中央線(快速)|JR八高線(八王子～高麗川)|JR横浜線,JR東日本,4,A,60,駅データ.jp
1130804,1130804,西大井,西大井,東京都,品川区,品川区,品川区西大井１丁目,35.601616,139.721729,JR横須賀線|JR湘南新宿ライン|相鉄・JR直通線,JR東日本|相模鉄道,3,C,24,駅データ.jp
1130812,1130812,鎌倉,鎌倉,神奈川県,鎌倉市,鎌倉市,鎌倉市小町１丁目,35.318642,139.550275,JR横須賀線|江ノ島電鉄線,JR東日本|江ノ島電鉄,2,C,23,駅データ.jp
1130910,1130910,海老名,海老名,神奈川県,海老名市,海老名市,海老名市上郷,35.453438,139.391095,JR相模線|小田急線|相鉄・JR直通線|相鉄本線,JR東日本|小田急電鉄|相模鉄道,4,C,38,駅データ.jp
1131102,1131102,四ツ谷,四ツ谷,東京都,新宿区,新宿区,東京都新宿区四谷一丁目,35.685748,139.730286,JR中央・総武線|JR中央本線(東京～塩尻)|JR中央線(快速)|東京メトロ丸ノ内線|東京メトロ南北線,JR東日本|東京メトロ,5,C,35,駅データ.jp
1131104,1131104,吉祥寺,吉祥寺,東京都,武蔵野市,武蔵野市,東京都武蔵野市吉祥寺南町,35.702912,139.5799,JR中央・総武線|JR中央本線(東京～塩尻)|JR中央線(快速)|京王井の頭線,JR東日本|京王電鉄,4,A,60,駅データ.jp
1131105,1131105,三鷹,三鷹,東京都,三鷹市,三鷹市,東京都三鷹市下連雀三丁目46-1,35.702683,139.560325,JR中央・総武線|JR中央本線(東京～塩尻)|JR中央線(快速),JR東日本,3,C,32,駅データ.jp
1131106,1131106,国分寺,国分寺,東京都,国分寺市,国分寺市,東京都国分寺市本町二丁目1-23,35.700301,139.480517,JR中央本線(東京～塩尻)|JR中央線(快速)|西武国分寺線|西武多摩湖線,JR東日本|西武鉄道,4,C,38,駅データ.jp
1131108,1131108,日野,日野,東京都,日野市,日野市,日野市大坂上１丁目,35.679244,139.39393,JR中央本線(東京～塩尻)|JR中央線(快速),JR東日本,2,C,23,駅データ.jp
1131111,1131111,西八王子,西八王子,東京都,八王子市,八王子市,八王子市千人町２丁目,35.656621,139.31264,JR中央本線(東京～塩尻)|JR中央線(快速),JR東日本,2,C,23,駅データ.jp
1131112,1131112,高尾,高尾,東京都,八王子市,八王子市,八王子市高尾町,35.641899,139.282042,JR中央本線(東京～塩尻)|JR中央線(快速)|京王高尾線,JR東日本|京王電鉄,3,C,24,駅データ.jp
1131120,1131120,大月,大月,山梨県,大月市,大月市,大月市大月１丁目,35.61308,138.942489,JR中央本線(東京～塩尻)|富士急行線,JR東日本|富士山麓電気鉄道,2,C,23,駅データ.jp
