station_id,station_group_id,station_name,prefecture,city,ward_or_city,address,latitude,longitude,lines,companies,line_count,importance_rank,importance_score,source
1140733,1140733,内ケ巻,新潟県,小千谷市,小千谷市,新潟県小千谷市大字川井,37.250008,138.851833,JR飯山線,JR東日本,1,D,5,駅データ.jp
1140802,1140802,東柏崎,新潟県,柏崎市,柏崎市,柏崎市小倉町,37.373867,138.565802,JR越後線,JR東日本,1,D,13,駅データ.jp
1140803,1140803,西中通,新潟県,柏崎市,柏崎市,柏崎市大字山本,37.392456,138.592651,JR越後線,JR東日本,1,D,5,駅データ.jp
1140804,1140804,荒浜,新潟県,,,刈羽郡刈羽村字正明寺,37.404699,138.601752,JR越後線,JR東日本,1,D,5,駅データ.jp
1140805,1140805,刈羽,新潟県,,,刈羽郡刈羽村大字刈羽,37.430047,138.61955,JR越後線,JR東日本,1,D,5,駅データ.jp
1140806,1140806,西山,新潟県,柏崎市,柏崎市,柏崎市西山町和田,37.448375,138.64177,JR越後線,JR東日本,1,D,5,駅データ.jp
1140807,1140807,礼拝,新潟県,柏崎市,柏崎市,柏崎市西山町礼拝,37.459221,138.66392,JR越後線,JR東日本,1,D,5,駅データ.jp
1140808,1140808,石地,新潟県,柏崎市,柏崎市,柏崎市西山町別山,37.484132,138.688101,JR越後線,JR東日本,1,D,5,駅データ.jp
1140809,1140809,小木ノ城,新潟県,,,三島郡出雲崎町大字小柿,37.515431,138.70402,JR越後線,JR東日本,1,D,5,駅データ.jp
1140810,1140810,出雲崎,新潟県,,,三島郡出雲崎町大字大門字滝谷林,37.531857,138.716291,JR越後線,JR東日本,1,D,5,駅データ.jp
1140811,1140811,妙法寺,新潟県,長岡市,長岡市,長岡市村田,37.566405,138.742037,JR越後線,JR東日本,1,D,5,駅データ.jp
1140812,1140812,小島谷,新潟県,長岡市,長岡市,長岡市小島谷,37.57455,138.771225,JR越後線,JR東日本,1,D,5,駅データ.jp
1140813,1140813,桐原,新潟県,長岡市,長岡市,長岡市寺泊五分一,37.601553,138.792279,JR越後線,JR東日本,1,D,5,駅データ.jp
1140814,1140814,寺泊,新潟県,長岡市,長岡市,長岡市寺泊竹森,37.620349,138.814519,JR越後線,JR東日本,1,D,5,駅データ.jp
1140815,1140815,分水,新潟県,燕市,燕市,燕市大武新田,37.629032,138.839038,JR越後線,JR東日本,1,D,5,駅データ.jp
1140816,1140816,粟生津,新潟県,燕市,燕市,燕市下粟生津,37.653988,138.873484,JR越後線,JR東日本,1,D,5,駅データ.jp
1140817,1140817,南吉田,新潟県,燕市,燕市,燕市吉田西太田,37.671999,138.870984,JR越後線,JR東日本,1,D,5,駅データ.jp
1140818,1140818,吉田,新潟県,燕市,燕市,燕市吉田,37.687111,138.878377,JR弥彦線|JR越後線,JR東日本,2,D,15,駅データ.jp
1140819,1140819,北吉田,新潟県,燕市,燕市,燕市吉田宮小路,37.702037,138.882209,JR越後線,JR東日本,1,D,5,駅データ.jp
1140820,1140820,岩室,新潟県,新潟市,新潟市西蒲区,新潟市西蒲区和納,37.721382,138.879881,JR越後線,JR東日本,1,D,5,駅データ.jp
1140821,1140821,巻,新潟県,新潟市,新潟市西蒲区,新潟市西蒲区巻甲,37.756753,138.889506,JR越後線,JR東日本,1,D,5,駅データ.jp
